global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
4678.856430528872,4.25350584593534e-15,1.0,5.749065180140397,17.275822771540504,1.0,0.0,2561.0,2527898.0,0.001,0.9868740874427553,0.932066953768256,0.01,1.0000000070524973,0.0,4332.0
4680.20793241028,4.2547344840093465e-15,1.0,5.7506295307223905,17.280737323836533,1.0,0.0,2562.0,2528662.0,0.001,0.9868872133553125,0.9320817240679375,0.01,1.0000000070574786,0.0,4333.0
4681.559824677108,4.2559634769791905e-15,1.0,5.752194333171796,17.285653295715907,1.0,0.0,2563.0,2529426.0,0.001,0.9869003261419572,0.9320964862607392,0.01,1.00000000706246,0.0,4334.0
4682.912107442121,4.257192824947383e-15,1.0,5.75375958761914,17.29057068758868,1.0,0.0,2563.0,2530190.0,0.001,0.9869134258158153,0.9321112403519224,0.01,1.0000000070674413,0.0,4335.0
4684.264780818115,4.258422528016468e-15,1.0,5.755325294194981,17.29548949986502,1.0,0.0,2564.0,2530955.0,0.001,0.9869265123899995,0.9321259863467446,0.01,1.0000000070724226,0.0,4336.0
4685.617844917919,4.2596525862890185e-15,1.0,5.756891453029921,17.30040973295522,1.0,0.0,2565.0,2531719.0,0.001,0.9869395858776095,0.9321407242504589,0.01,1.000000007077404,0.0,4337.0
4686.9712998543955,4.260882999867633e-15,1.0,5.758458064254592,17.30533138726968,1.0,0.0,2565.0,2532484.0,0.001,0.986952646291732,0.9321554540683146,0.01,1.0000000070823853,0.0,4338.0
4688.3251457404385,4.262113768854946e-15,1.0,5.760025127999672,17.31025446321893,1.0,0.0,2566.0,2533249.0,0.001,0.9869656936454402,0.9321701758055565,0.01,1.0000000070873667,0.0,4339.0
4689.679382688975,4.263344893353615e-15,1.0,5.76159264439587,17.315178961213608,1.0,0.0,2567.0,2534014.0,0.001,0.9869787279517948,0.9321848894674254,0.01,1.000000007092348,0.0,4340.0
4691.034010812965,4.264576373466333e-15,1.0,5.763160613573937,17.320104881664477,1.0,0.0,2568.0,2534780.0,0.001,0.9869917492238429,0.9321995950591581,0.01,1.0000000070973294,0.0,4341.0
4692.389030225399,4.265808209295819e-15,1.0,5.7647290356646606,17.325032224982422,1.0,0.0,2568.0,2535545.0,0.001,0.987004757474619,0.9322142925859869,0.01,1.0000000071023107,0.0,4342.0
4693.744441039305,4.267040400944823e-15,1.0,5.766297910798865,17.329960991578435,1.0,0.0,2569.0,2536311.0,0.001,0.9870177527171444,0.9322289820531404,0.01,1.000000007107292,0.0,4343.0
4695.100243367737,4.2682729485161255e-15,1.0,5.767867239107414,17.334891181863647,1.0,0.0,2570.0,2537077.0,0.001,0.9870307349644273,0.9322436634658429,0.01,1.0000000071122734,0.0,4344.0
4696.456437323787,4.269505852112535e-15,1.0,5.76943702072121,17.339822796249287,1.0,0.0,2571.0,2537843.0,0.001,0.9870437042294629,0.9322583368293144,0.01,1.0000000071172548,0.0,4345.0
4697.813023020578,4.27073911183689e-15,1.0,5.771007255771187,17.344755835146707,1.0,0.0,2571.0,2538610.0,0.001,0.9870566605252334,0.932273002148771,0.01,1.0000000071222361,0.0,4346.0
4699.170000571265,4.27197272779206e-15,1.0,5.772577944388325,17.34969029896738,1.0,0.0,2572.0,2539376.0,0.001,0.9870696038647082,0.9322876594294246,0.01,1.0000000071272175,0.0,4347.0
4700.527370089036,4.273206700080943e-15,1.0,5.7741490867036385,17.354626188122914,1.0,0.0,2573.0,2540143.0,0.001,0.9870825342608435,0.932302308676483,0.01,1.0000000071321988,0.0,4348.0
4701.885131687111,4.274441028806466e-15,1.0,5.775720682848178,17.35956350302501,1.0,0.0,2574.0,2540910.0,0.001,0.9870954517265826,0.93231694989515,0.01,1.0000000071371802,0.0,4349.0
4703.243285478747,4.27567571407159e-15,1.0,5.777292732953034,17.364502244085504,1.0,0.0,2574.0,2541677.0,0.001,0.987108356274856,0.9323315830906251,0.01,1.0000000071421615,0.0,4350.0
4704.601831577226,4.2769107559792984e-15,1.0,5.7788652371493345,17.36944241171634,1.0,0.0,2575.0,2542445.0,0.001,0.9871212479185812,0.9323462082681038,0.01,1.0000000071471429,0.0,4351.0
4705.96077009587,4.27814615463261e-15,1.0,5.7804381955682445,17.37438400632959,1.0,0.0,2576.0,2543212.0,0.001,0.9871341266706627,0.9323608254327773,0.01,1.0000000071521242,0.0,4352.0
4707.3201011480305,4.279381910134574e-15,1.0,5.7820116083409685,17.379327028337443,1.0,0.0,2577.0,2543980.0,0.001,0.9871469925439921,0.9323754345898333,0.01,1.0000000071571056,0.0,4353.0
4708.6798248470905,4.280618022588265e-15,1.0,5.7835854755987475,17.384271478152208,1.0,0.0,2577.0,2544748.0,0.001,0.9871598455514481,0.9323900357444547,0.01,1.000000007162087,0.0,4354.0
4710.039941306468,4.281854492096791e-15,1.0,5.78515979747286,17.389217356186304,1.0,0.0,2578.0,2545516.0,0.001,0.9871726857058967,0.9324046289018206,0.01,1.0000000071670683,0.0,4355.0
4711.400450639613,4.283091318763286e-15,1.0,5.786734574094626,17.39416466285229,1.0,0.0,2579.0,2546285.0,0.001,0.9871855130201908,0.9324192140671063,0.01,1.0000000071720496,0.0,4356.0
4712.7613529600085,4.284328502690918e-15,1.0,5.788309805595398,17.399113398562818,1.0,0.0,2580.0,2547053.0,0.001,0.9871983275071705,0.9324337912454826,0.01,1.000000007177031,0.0,4357.0
4714.12264838117,4.285566043982883e-15,1.0,5.78988549210657,17.404063563730674,1.0,0.0,2580.0,2547822.0,0.001,0.9872111291796634,0.9324483604421165,0.01,1.0000000071820123,0.0,4358.0
4715.484337016645,4.2868039427424065e-15,1.0,5.791461633759574,17.40901515876877,1.0,0.0,2581.0,2548591.0,0.001,0.9872239180504837,0.9324629216621707,0.01,1.0000000071869937,0.0,4359.0
4716.846418980016,4.2880421990727435e-15,1.0,5.793038230685878,17.41396818409012,1.0,0.0,2582.0,2549360.0,0.001,0.9872366941324332,0.932477474910804,0.01,1.000000007191975,0.0,4360.0
4718.208894384897,4.28928081307718e-15,1.0,5.794615283016989,17.418922640107862,1.0,0.0,2583.0,2550129.0,0.001,0.9872494574383007,0.9324920201931711,0.01,1.0000000071969564,0.0,4361.0
4719.571763344933,4.2905197848590315e-15,1.0,5.7961927908844535,17.42387852723527,1.0,0.0,2583.0,2550899.0,0.001,0.9872622079808624,0.9325065575144227,0.01,1.0000000072019377,0.0,4362.0
4720.935025973806,4.291759114521643e-15,1.0,5.797770754419854,17.428835845885715,1.0,0.0,2584.0,2551669.0,0.001,0.9872749457728816,0.9325210868797053,0.01,1.000000007206919,0.0,4363.0
4722.298682385226,4.292998802168389e-15,1.0,5.79934917375481,17.433794596472698,1.0,0.0,2585.0,2552439.0,0.001,0.9872876708271087,0.9325356082941613,0.01,1.0000000072119004,0.0,4364.0
4723.66273269294,4.294238847902674e-15,1.0,5.800928049020982,17.43875477940984,1.0,0.0,2586.0,2553209.0,0.001,0.9873003831562815,0.9325501217629293,0.01,1.0000000072168818,0.0,4365.0
4725.027177010726,4.295479251827933e-15,1.0,5.802507380350067,17.44371639511088,1.0,0.0,2586.0,2553979.0,0.001,0.9873130827731252,0.9325646272911439,0.01,1.000000007221863,0.0,4366.0
4726.392015452394,4.296720014047632e-15,1.0,5.804087167873801,17.448679443989672,1.0,0.0,2587.0,2554750.0,0.001,0.9873257696903521,0.9325791248839351,0.01,1.0000000072268445,0.0,4367.0
4727.757248131788,4.297961134665263e-15,1.0,5.805667411723955,17.4536439264602,1.0,0.0,2588.0,2555520.0,0.001,0.9873384439206617,0.9325936145464296,0.01,1.0000000072318258,0.0,4368.0
4729.122875162786,4.2992026137843516e-15,1.0,5.807248112032342,17.458609842936553,1.0,0.0,2589.0,2556291.0,0.001,0.9873511054767411,0.9326080962837496,0.01,1.0000000072368072,0.0,4369.0
