internal_EIIglc,internal_g6p_c,internal_pep_c,internal_pyr_c,internal_LacY,internal_lcts_p,external_glc__D_e,external_lcts_e,global_volume,global_width,global_length,global_surface_area,time
0.0018,30.64933570056173,-30.46933570056173,30.64933570056173,0.0,0.0,0.9626918806226774,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,573.0
0.0018,30.702309233561856,-30.522309233561856,30.702309233561856,0.0,0.0,0.9626273985706595,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,574.0
0.0018,30.755280958669406,-30.575280958669406,30.755280958669406,0.0,0.0,0.9625629181791807,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,575.0
0.0018,30.80825087581214,-30.62825087581214,30.80825087581214,0.0,0.0,0.962498439448241,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,576.0
0.0018,30.861218984917812,-30.681218984917813,30.861218984917812,0.0,0.0,0.9624339640383793,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,577.0
0.0018,30.91418528596075,-30.734185285960752,30.91418528596075,0.0,0.0,0.9623694902890567,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,578.0
0.0018,30.967149778868716,-30.787149778868717,30.967149778868716,0.0,0.0,0.9623050182002731,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,579.0
0.0018,31.02011246356946,-30.84011246356946,31.02011246356946,0.0,0.0,0.9622405494325676,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,580.0
0.0018,31.07307334003732,-30.89307334003732,31.07307334003732,0.0,0.0,0.9621760823254012,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,581.0
0.0018,31.126032408200047,-30.946032408200047,31.126032408200047,0.0,0.0,0.9621116168787738,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,582.0
0.0018,31.178989667985398,-30.9989896679854,31.178989667985398,0.0,0.0,0.9620471547532244,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,583.0
0.0018,31.231945119367715,-31.051945119367716,31.231945119367715,0.0,0.0,0.9619826942882141,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,584.0
0.0018,31.284898762274754,-31.104898762274754,31.284898762274754,0.0,0.0,0.9619182354837429,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,585.0
0.0018,31.33785059663427,-31.15785059663427,31.33785059663427,0.0,0.0,0.9618537800003497,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,586.0
0.0018,31.390800622420603,-31.210800622420603,31.390800622420603,0.0,0.0,0.9617893261774956,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,587.0
0.0018,31.443748839561515,-31.263748839561515,31.443748839561515,0.0,0.0,0.9617248740151805,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,588.0
0.0018,31.496695247984757,-31.316695247984757,31.496695247984757,0.0,0.0,0.9616604251739435,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,589.0
0.0018,31.549639847664682,-31.369639847664683,31.549639847664682,0.0,0.0,0.9615959779932455,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,590.0
0.0018,31.602582638529043,-31.422582638529043,31.602582638529043,0.0,0.0,0.9615315324730865,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,591.0
0.0018,31.655523620505594,-31.475523620505594,31.655523620505594,0.0,0.0,0.9614670902740057,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,592.0
0.0018,31.708462793568696,-31.528462793568696,31.708462793568696,0.0,0.0,0.9614026497354639,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,593.0
0.0018,31.7614001576461,-31.5814001576461,31.7614001576461,0.0,0.0,0.9613382108574611,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,594.0
0.0018,31.814335712665557,-31.634335712665557,31.814335712665557,0.0,0.0,0.9612737753005364,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,595.0
0.0018,31.867269458601434,-31.687269458601435,31.867269458601434,0.0,0.0,0.9612093414041507,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,596.0
0.0018,31.920201395381486,-31.740201395381487,31.920201395381486,0.0,0.0,0.9611449091683041,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,597.0
0.0018,31.973131522933457,-31.793131522933457,31.973131522933457,0.0,0.0,0.9610804802535355,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,598.0
0.0018,32.02605984123173,-31.846059841231728,32.02605984123173,0.0,0.0,0.961016052999306,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,599.0
0.0018,32.07898635020405,-31.898986350204044,32.07898635020405,0.0,0.0,0.9609516274056156,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,600.0
0.0018,32.13191104977816,-31.951911049778154,32.13191104977816,0.0,0.0,0.9608872051330032,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,601.0
0.0018,32.18483393992845,-32.004833939928446,32.18483393992845,0.0,0.0,0.9608227845209298,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,602.0
0.0018,32.23775502058267,-32.05775502058266,32.23775502058267,0.0,0.0,0.9607583655693955,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,603.0
0.0018,32.29067429166856,-32.11067429166855,32.29067429166856,0.0,0.0,0.9606939499389393,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,604.0
0.0018,32.34359175316052,-32.16359175316051,32.34359175316052,0.0,0.0,0.9606295359690221,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,605.0
0.0018,32.39650740498629,-32.21650740498628,32.39650740498629,0.0,0.0,0.960565123659644,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,606.0
0.0018,32.44942124707361,-32.2694212470736,32.44942124707361,0.0,0.0,0.9605007146713439,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,607.0
0.0018,32.502333279396886,-32.32233327939688,32.502333279396886,0.0,0.0,0.9604363073435829,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,608.0
0.0018,32.555243501883865,-32.37524350188386,32.555243501883865,0.0,0.0,0.9603719016763609,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,609.0
0.0018,32.60815191446229,-32.42815191446228,32.60815191446229,0.0,0.0,0.960307499330217,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,610.0
0.0018,32.66105851710657,-32.48105851710656,32.66105851710657,0.0,0.0,0.9602430986446121,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,611.0
0.0018,32.71396330974444,-32.533963309744436,32.71396330974444,0.0,0.0,0.9601786996195463,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,612.0
0.0018,32.76686629230365,-32.58686629230365,32.76686629230365,0.0,0.0,0.9601143039155585,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,613.0
0.0018,32.81976746475862,-32.63976746475861,32.81976746475862,0.0,0.0,0.9600499098721098,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,614.0
0.0018,32.87266682703708,-32.69266682703707,32.87266682703708,0.0,0.0,0.9599855174892001,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,615.0
0.0018,32.92556437906678,-32.74556437906677,32.92556437906678,0.0,0.0,0.9599211267668295,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,616.0
